Small Unit Installation Postcode,Previous Years (2001-2015) - Installations Quantity,Previous Years (2001-2015) - SGU Rated Output In kW,Jan 2016 - Installations Quantity,Jan 2016 - SGU Rated Output In kW,Feb 2016 - Installations Quantity,Feb 2016 - SGU Rated Output In kW,Mar 2016 - Installations Quantity,Mar 2016 - SGU Rated Output In kW,Apr 2016 - Installations Quantity,Apr 2016 - SGU Rated Output In kW,May 2016 - Installations Quantity,May 2016 - SGU Rated Output In kW,Jun 2016 - Installations Quantity,Jun 2016 - SGU Rated Output In kW,Jul 2016 - Installations Quantity,Jul 2016 - SGU Rated Output In kW,Aug 2016 - Installations Quantity,Aug 2016 - SGU Rated Output In kW,Sep 2016 - Installations Quantity,Sep 2016 - SGU Rated Output In kW,Oct 2016 - Installations Quantity,Oct 2016 - SGU Rated Output In kW,Nov 2016 - Installations Quantity,Nov 2016 - SGU Rated Output In kW,Dec 2016 - Installations Quantity,Dec 2016 - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2646,819,"4,008.64",0,0,7,33.05,2,7.12,2,11.96,3,12.38,7,127.08,6,87.37,2,16.6,3,10.81,2,6.24,6,117.34,2,9.28,2,6.24,5,16.48,13,50.188,3,12.88,9,38.172,9,47.219,5,22.53,10,34.74,3,36.31,11,50.84,4,53.93,0,0,935,4817.398
2647,304,"1,457.45",0,0,0,0,2,10,1,5,1,2.04,0,0,2,10.1,1,4.5,0,0,2,9.88,4,115.275,0,0,0,0,2,10.04,4,17.86,2,8.12,0,0,1,5.4,0,0,2,16.55,0,0,3,11.485,1,15.37,1,4.32,333,1703.387
2648,176,970.877,2,7.81,4,17.72,3,14.06,2,12.72,1,5,1,3.64,0,0,1,1.5,0,0,3,19.42,6,27.98,4,20.437,1,5.13,1,5.1,1,19.44,3,15.75,1,5.4,4,36.84,1,3.18,1,5.94,1,5.4,1,5.5,0,0,0,0,218,1208.844
2649,3,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.77
2650,"2,736","11,098.40",6,24.32,17,436.79,15,56.475,27,223.25,11,51.56,12,47.61,24,129.495,14,66.448,22,141.77,16,91.69,28,116.575,26,379.455,14,44.65,26,114.91,20,242.395,23,125.43,24,168.695,23,152.896,22,103.44,35,234.555,18,119.205,24,128.215,27,170.29,10,106.05,3220,14574.565
2651,59,290.9,1,5.1,3,9.32,0,0,0,0,0,0,0,0,0,0,1,4.505,1,1.28,1,5.76,0,0,0,0,1,2.56,2,10.74,0,0,2,4.425,1,3.18,3,13.48,1,4.5,3,10.4,2,103.44,5,45.72,0,0,0,0,86,515.31
2652,322,"1,458.98",0,0,5,13.5,3,11.795,4,24.885,3,14.32,6,30.08,2,40.98,4,58.985,3,19.48,5,35.68,2,15.44,4,13.44,1,4.48,2,10.42,5,43.12,4,15.23,4,16.7,4,37.98,1,5.4,5,20.5,7,55.66,5,27.33,5,26.94,1,10.26,407,2011.582
2653,219,862.059,0,0,3,11.16,4,14.38,6,19.21,1,4.94,0,0,1,3.12,4,43.06,4,41.06,3,19.28,6,24.44,6,37.12,0,0,2,7.36,3,63.2,1,2.56,4,18.325,0,0,5,21.81,3,12.54,0,0,0,0,1,4.06,0,0,276,1209.684
2655,147,684.804,0,0,1,2.08,1,4,1,5.1,0,0,1,5,1,4.59,0,0,0,0,0,0,0,0,1,4.08,0,0,0,0,0,0,0,0,0,0,1,23.92,1,1.56,3,13.05,0,0,1,5.4,0,0,0,0,159,753.584
2656,126,552.381,0,0,1,5.5,0,0,1,6.12,1,5.04,0,0,4,10.71,2,7.8,1,10.6,0,0,2,12.82,2,7.62,0,0,3,15.38,1,10.4,0,0,0,0,0,0,0,0,1,10.8,0,0,1,3.24,0,0,1,3.3,147,661.711
2658,150,696.14,0,0,4,14,3,11,1,4.08,3,13.9,1,5.1,2,5.14,3,10.5,0,0,1,5,3,9.8,2,14.4,0,0,1,2.56,1,6.24,1,9.36,1,5,0,0,0,0,1,7.28,0,0,2,16.5,2,45.33,0,0,182,881.33
2659,107,505.584,0,0,0,0,0,0,1,90,0,0,1,5.2,1,3,0,0,0,0,0,0,0,0,0,0,1,5.13,0,0,1,5.12,0,0,1,4.48,1,2.08,0,0,2,8.9,0,0,1,3.3,0,0,0,0,117,632.794
2660,162,667.665,0,0,4,26,3,13.16,1,5.1,0,0,0,0,4,13.07,2,6.18,0,0,2,10.886,1,4.94,9,62.5,1,5,0,0,1,3.12,1,2.08,4,77.015,0,0,0,0,0,0,1,3.18,4,28.31,1,5.94,0,0,201,934.146
2663,266,"1,046.19",0,0,1,5,5,19.275,1,2.04,2,4.08,2,20.52,3,16.54,2,15,1,2.55,0,0,1,3.24,0,0,0,0,0,0,1,3.445,1,5.28,1,19.84,1,5.12,1,4.24,5,19.67,4,19,2,14.85,1,4.86,0,0,301,1230.741
2665,132,698.794,2,15,4,31.5,2,12,2,7,2,12,1,4.24,1,1.04,0,0,0,0,0,0,3,13.44,0,0,0,0,1,6.36,2,26.94,1,6.12,4,19.23,5,34.38,2,5,1,6.05,0,0,0,0,1,9.9,1,7.2,167,916.194
2666,364,"1,610.76",0,0,1,5.2,2,8.5,9,34.26,2,10.1,0,0,0,0,2,9.58,3,17.28,4,22.44,12,53.61,4,21.3,2,19.52,4,21.68,3,16.93,1,5.23,3,36.16,5,24.415,3,16.53,1,5.4,3,14.45,4,17.67,4,34.95,4,29.22,440,2035.185
2668,30,97.62,0,0,1,3,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,3.3,0,0,0,0,0,0,2,7.7,1,9.9,0,0,0,0,38,136.52
